Categoría,Palabras Clave,Descripción,URL
Erasmus,"erasmus, movilidad, intercambio, estudiar fuera",Información sobre programas de movilidad internacional,https://www.us.es/internacional/movilidad/estudiante-us/movilidad-internacional
Becas,"becas, ayudas económicas, subvenciones",Información sobre becas disponibles para estudiantes,https://www.becas.us.es
Biblioteca,"biblioteca, libros, préstamo, estudio",Información sobre bibliotecas y préstamos de libros,https://bib.us.es
Matrícula,"matrícula, inscripción, admisión, curso",Procedimientos para inscribirse en la universidad,https://www.us.es/estudios/acceso
Calendario Académico,"calendario, fechas, inicio de clases, exámenes",Calendario académico con fechas clave de clases y exámenes,https://www.us.es/estudios/calendario
Carné Universitario,"carné, identificación, tarjeta estudiante",Información sobre cómo obtener el carné universitario,https://www.us.es/vida-universitaria/carne-universitario
Deportes,"deporte, gimnasio, actividades deportivas",Información sobre actividades deportivas y gimnasios en la US,https://www.us.es/deportes
Comedores Universitarios,"comedor, comida, menú, restaurante universitario",Ubicación y menús de los comedores universitarios,https://www.us.es/vida-universitaria/comedores-universitarios
Correo Institucional,"correo, email, cuenta us",Cómo acceder y gestionar el correo institucional de la US,https://www.us.es/servicios/correo
Residencias y Alojamiento,"residencia, piso, alojamiento estudiantes",Opciones de residencias y alojamiento para estudiantes en Sevilla,https://www.us.es/vida-universitaria/alojamiento
Empleo,"inscripción, tasas, requisitos, normativa",Información detallada sobre el proceso.,https://www.us.es/servicio/empleo
Investigación,"fechas, plazos, procedimiento, requisitos",Información detallada sobre el proceso.,https://www.us.es/servicio/investigación
Carné Universitario,"plataforma, acceso, problemas, soporte",Proceso de solicitud paso a paso.,https://www.us.es/servicio/carné-universitario
Empleo,"ayuda, servicio, contacto, atención al usuario",Explicación sobre cómo acceder al servicio.,https://www.us.es/servicio/empleo
Actividades Culturales,"ayuda, servicio, contacto, atención al usuario",Recursos disponibles para estudiantes.,https://www.us.es/servicio/actividades-culturales
Idiomas,"información, requisitos, solicitud, dudas",Recursos disponibles para estudiantes.,https://www.us.es/servicio/idiomas
Intercambio Académico,"plataforma, acceso, problemas, soporte",Guía completa con requisitos y trámites.,https://www.us.es/servicio/intercambio-académico
Certificados,"instrucciones, pasos, cómo realizar, detalles",Información detallada sobre el proceso.,https://www.us.es/servicio/certificados
Doctorado,"inscripción, tasas, requisitos, normativa",Acceso a la plataforma correspondiente.,https://www.us.es/servicio/doctorado
Actividades Culturales,"plataforma, acceso, problemas, soporte",Acceso a la plataforma correspondiente.,https://www.us.es/servicio/actividades-culturales
Laboratorios,"solicitar, gestionar, trámite, procedimiento",Pasos a seguir para completar el procedimiento.,https://www.us.es/servicio/laboratorios
Secretaría,"instrucciones, pasos, cómo realizar, detalles",Normativa y plazos importantes.,https://www.us.es/servicio/secretaría
Matrícula,"solicitar, gestionar, trámite, procedimiento",Proceso de solicitud paso a paso.,https://www.us.es/servicio/matrícula
Certificados,"plataforma, acceso, problemas, soporte",Proceso de solicitud paso a paso.,https://www.us.es/servicio/certificados
Transporte Universitario,"proceso, trámites, normativa, documentación",Acceso a la plataforma correspondiente.,https://www.us.es/servicio/transporte-universitario
Idiomas,"solicitar, gestionar, trámite, procedimiento",Recursos disponibles para estudiantes.,https://www.us.es/servicio/idiomas
Asociaciones Estudiantiles,"dónde encontrar, qué hacer, información detallada",Recursos disponibles para estudiantes.,https://www.us.es/servicio/asociaciones-estudiantiles
Biblioteca,"proceso, trámites, normativa, documentación",Soporte y ayuda para resolver dudas.,https://www.us.es/servicio/biblioteca
Residencias y Alojamiento,"solicitar, gestionar, trámite, procedimiento",Acceso a la plataforma correspondiente.,https://www.us.es/servicio/residencias-y-alojamiento
Voluntariado,"dónde encontrar, qué hacer, información detallada",Guía completa con requisitos y trámites.,https://www.us.es/servicio/voluntariado
Matrícula,"solicitar, gestionar, trámite, procedimiento",Recursos disponibles para estudiantes.,https://www.us.es/servicio/matrícula
