Categoría,Palabras Clave,Descripción,URL
Erasmus,"erasmus, movilidad, intercambio, estudiar fuera",Información sobre programas de movilidad internacional,https://www.us.es/internacional/movilidad/estudiante-us/movilidad-internacional
Becas,"becas, ayudas económicas, subvenciones",Información sobre becas disponibles para estudiantes,https://www.us.es/estudiar/becas-ayudas/becas-ayudas
Biblioteca,"biblioteca, libros, préstamo, estudio",Información sobre bibliotecas y préstamos de libros,https://bib.us.es
Matrícula,"matrícula, inscripción, admisión, curso",Procedimientos para inscribirse en la universidad,https://www.us.es/estudiar/acceso
Calendario Académico,"calendario, fechas, inicio de clases, exámenes",Calendario académico con fechas clave de clases y exámenes,https://www.us.es/calendario-academico
Carné Universitario,"carné, identificación, tarjeta estudiante",Información sobre cómo obtener el carné universitario,https://sic.us.es/servicios/apoyo-la-gestion-universitaria/secretaria-virtual-sevius-carne-universitario-appus
Deportes,"deporte, gimnasio, actividades deportivas",Información sobre actividades deportivas y gimnasios en la US,https://www.us.es/vivir-la-US/deporte
Comedores Universitarios,"comedor, comida, menú, restaurante universitario",Ubicación y menús de los comedores universitarios,https://sacu.us.es/spp-servicios-comedores
Correo Institucional,"correo, email, cuenta us",Cómo acceder y gestionar el correo institucional de la US,https://buzonweb.us.es
Residencias y Alojamiento,"residencia, piso, alojamiento estudiantes",Opciones de residencias y alojamiento para estudiantes en Sevilla,https://sacu.us.es/spp-servicios-alojamiento
Empleo,"inscripción, tasas, requisitos, normativa",Información detallada sobre el proceso.,https://cat.us.es/practicas-y-empleo/empleo
Investigación,"fechas, plazos, procedimiento, requisitos",Información detallada sobre el proceso.,https://www.investigacion.us.es
Carné Universitario,"plataforma, acceso, problemas, soporte",Proceso de solicitud paso a paso.,https://cat.us.es/que-es-el-carne-universitario/que-es-el-carne-universitario
Empleo,"ayuda, servicio, contacto, atención al usuario",Explicación sobre cómo acceder al servicio.,https://cat.us.es/practicas-y-empleo/empleo
Actividades Culturales,"ayuda, servicio, contacto, atención al usuario",Recursos disponibles para estudiantes.,https://www.us.es/vivir-la-US/cultura
Idiomas,"información, requisitos, solicitud, dudas",Recursos disponibles para estudiantes.,https://institutodeidiomas.us.es
Intercambio Académico,"plataforma, acceso, problemas, soporte",Guía completa con requisitos y trámites.,https://www.us.es/estudiar/movilidad
Certificados,"instrucciones, pasos, cómo realizar, detalles",Información detallada sobre el proceso.,https://sede.us.es/opencms/system/modules/sede/index
Doctorado,"inscripción, tasas, requisitos, normativa",Acceso a la plataforma correspondiente.,https://doctorado.us.es
Actividades Culturales,"plataforma, acceso, problemas, soporte",Acceso a la plataforma correspondiente.,https://www.us.es/vivir-la-US/cultura
Secretaría,"instrucciones, pasos, cómo realizar, detalles",Normativa y plazos importantes.,https://sevius4.us.es
Matrícula,"solicitar, gestionar, trámite, procedimiento",Proceso de solicitud paso a paso.,https://www.us.es/estudiar/acceso-matricula
Certificados,"plataforma, acceso, problemas, soporte",Proceso de solicitud paso a paso.,https://sede.us.es/opencms/system/modules/sede/index
Transporte Universitario,"proceso, trámites, normativa, documentación",Acceso a la plataforma correspondiente.,https://www.us.es/internacional/oficina-welcome/antes-de-llegar
Idiomas,"solicitar, gestionar, trámite, procedimiento",Recursos disponibles para estudiantes.,https://institutodeidiomas.us.es
Asociaciones Estudiantiles,"dónde encontrar, qué hacer, información detallada",Recursos disponibles para estudiantes.,https://institucional.us.es/vrelinstitu/asociaciones-universitarias
Biblioteca,"proceso, trámites, normativa, documentación",Soporte y ayuda para resolver dudas.,https://bib.us.es
Residencias y Alojamiento,"solicitar, gestionar, trámite, procedimiento",Acceso a la plataforma correspondiente.,https://sacu.us.es/spp-servicios-alojamiento
Voluntariado,"dónde encontrar, qué hacer, información detallada",Guía completa con requisitos y trámites.,https://sacu.us.es/spp-prestaciones-voluntariado
Matrícula,"solicitar, gestionar, trámite, procedimiento",Recursos disponibles para estudiantes.,https://www.us.es/estudiar/acceso-matricula
Investigación Científica,"proceso, trámites, normativa, documentación",Pasos a seguir para completar el procedimiento.,https://www.investigacion.us.es
Másteres,"plataforma, acceso, problemas, soporte",Información detallada sobre el proceso.,https://www.us.es/estudiar/que-estudiar/oferta-de-masteres
Ciberseguridad,"instrucciones, pasos, cómo realizar, detalles",Pasos a seguir para completar el procedimiento.,https://www.us.es/estudiar/que-estudiar/oferta-de-masteres/master-universitario-en-ingenieria-informatica/51800017
Títulos,"plataforma, acceso, problemas, soporte",Información detallada sobre el proceso.,https://cat.us.es/vida-academica/obtencion-de-titulos
Equivalencia de Estudios,"solicitar, gestionar, trámite, procedimiento",Pasos a seguir para completar el procedimiento.,https://doctorado.us.es/estudios/titulo-de-doctor/declaracion-de-equivalencia
Calendario Académico,"ayuda, servicio, contacto, atención al usuario",Soporte y ayuda para resolver dudas.,https://www.us.es/calendario-academico
Títulos Oficiales,"inscripción, tasas, requisitos, normativa",Soporte y ayuda para resolver dudas.,https://cat.us.es/vida-academica/obtencion-de-titulos
Becas,"solicitar, gestionar, trámite, procedimiento",Guía completa con requisitos y trámites.,https://www.us.es/estudiar/becas-ayudas/becas-ayudas
Atención Psicológica,"instrucciones, pasos, cómo realizar, detalles",Reglamentos y detalles administrativos.,https://sacu.us.es/spp-prestacion-psicologica
Certificados,"plataforma, acceso, problemas, soporte",Información detallada sobre el proceso.,https://sede.us.es/opencms/system/modules/sede/index
Prácticas,"dónde encontrar, qué hacer, información detallada",Explicación sobre cómo acceder al servicio.,https://www.us.es/empresas/practicas-y-empleo
Asesoramiento Académico,"instrucciones, pasos, cómo realizar, detalles",Guía completa con requisitos y trámites.,https://sacu.us.es/extranjeros-prestaciones-asesoramiento
Prácticas,"ayuda, servicio, contacto, atención al usuario",Normativa y plazos importantes.,https://www.us.es/empresas/practicas-y-empleo
Investigación,"instrucciones, pasos, cómo realizar, detalles",Soporte y ayuda para resolver dudas.,https://www.investigacion.us.es
Doctorado,"fechas, plazos, procedimiento, requisitos",Pasos a seguir para completar el procedimiento.,https://doctorado.us.es
Ayudas al Estudio,"consultar, acceder, verificar, buscar",Acceso a la plataforma correspondiente.,https://www.us.es/estudiar/becas-ayudas/becas-ayudas
Procedimientos Administrativos,"solicitar, gestionar, trámite, procedimiento",Información detallada sobre el proceso.,https://ftf.us.es/la-facultad/secretaria/proc_administrativos/inf_proc_adtvo
Eventos Académicos,"inscripción, tasas, requisitos, normativa",Información detallada sobre el proceso.,https://eventos.us.es
Deportes,"consultar, acceder, verificar, buscar",Información detallada sobre el proceso.,https://www.us.es/vivir-la-US/deporte
Doctorado,"dónde encontrar, qué hacer, información detallada",Guía completa con requisitos y trámites.,https://doctorado.us.es
Cambio de Carrera,"solicitar, gestionar, trámite, procedimiento",Reglamentos y detalles administrativos.,https://cat.us.es/acceso-y-admision/admision-preinscripcion/traslados-de-expediente-cambio-de-estudios-yo-universidad
Redes Sociales,"ayuda, servicio, contacto, atención al usuario",Información detallada sobre el proceso.,https://www.us.es/directorio-de-redes-sociales
Software Universitario,"plataforma, acceso, problemas, soporte",Reglamentos y detalles administrativos.,https://sic.us.es/servicios/infraestructuras-comunicaciones-hw-y-sw/equipamiento-informatico-software
Redes Sociales,"plataforma, acceso, problemas, soporte",Proceso de solicitud paso a paso.,https://www.us.es/directorio-de-redes-sociales
Prácticas,"información, requisitos, solicitud, dudas",Reglamentos y detalles administrativos.,https://www.us.es/empresas/practicas-y-empleo
Asociaciones Estudiantiles,"solicitar, gestionar, trámite, procedimiento",Soporte y ayuda para resolver dudas.,https://institucional.us.es/vrelinstitu/asociaciones-universitarias
Prácticas,"proceso, trámites, normativa, documentación",Información detallada sobre el proceso.,https://www.us.es/empresas/practicas-y-empleo
